Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:8
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:8
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:8
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:8
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:2
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:9
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Tower ID:4
Time: Mar10 16:58 25 Level: 0 Context: CGame::performAttacks Text: performing attack on Attacker ID:10
